monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);8.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);7.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);7.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);8.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);40.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);82.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);160.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);10.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);68.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);6.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);13.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);58.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);26.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);40.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);8.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);7.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);7.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);8.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);40.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);82.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);160.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);10.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);68.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);6.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);13.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);58.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.66;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);3.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);26.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);40.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);2.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);1.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
337960;2006-08-31 00:00;HYBIO;Macro-evertebraten (n);4.0;n;121943;474551
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);21.328;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);5.332;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);6.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);8.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.666;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.666;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);5.332;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);31.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);20.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);15.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);21.328;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);111.972;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);236.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);20.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);16.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);36.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);496.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);8.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);21.328;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);5.332;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);6.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);8.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.666;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.666;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);5.332;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);31.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);20.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);15.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);21.328;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);111.972;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);2.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);236.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);20.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);16.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);36.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);496.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);4.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);12.0;n;123228;475060
WP740030;2024-06-03 00:00;HYBIO;Macro-evertebraten (n);8.0;n;123228;475060
