id,param_name,year,forecast,model,x_avg,y_avg
Ca_mg_l_nf,Calcium na filtratie (mg/l),2026,98.19185856806484,linear,123838.97222222222,477183.8333333333
Ca_mg_l_nf,Calcium na filtratie (mg/l),2027,98.96825449245534,linear,123838.97222222222,477183.8333333333
Ca_mg_l_nf,Calcium na filtratie (mg/l),2028,99.74465041684607,linear,123838.97222222222,477183.8333333333
Ca_mg_l_nf,Calcium na filtratie (mg/l),2029,100.5210463412368,linear,123838.97222222222,477183.8333333333
Ca_mg_l_nf,Calcium na filtratie (mg/l),2030,101.2974422656273,linear,123838.97222222222,477183.8333333333
Cl_mg_l,Chloride (mg/l),2023,299.13485503599804,linear,122516.90909090907,477547.6363636364
Cl_mg_l,Chloride (mg/l),2024,300.9010192270907,linear,122516.90909090907,477547.6363636364
Cl_mg_l,Chloride (mg/l),2025,302.6671834181834,linear,122516.90909090907,477547.6363636364
Cl_mg_l,Chloride (mg/l),2026,304.43334760927564,linear,122516.90909090907,477547.6363636364
Cl_mg_l,Chloride (mg/l),2027,306.1995118003683,linear,122516.90909090907,477547.6363636364
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,2026,143.7987206532332,linear,123687.025,477621.65
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,2027,143.41091362145323,linear,123687.025,477621.65
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,2028,143.02310658967326,linear,123687.025,477621.65
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,2029,142.63529955789318,linear,123687.025,477621.65
GELDHD_mS_m_25oC,Geleidendheid of EGV bij referentietemperatuur 25oC,2030,142.2474925261132,linear,123687.025,477621.65
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),2026,258.5276003618287,linear,123838.97222222222,477183.8333333333
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),2027,257.0413031400003,linear,123838.97222222222,477183.8333333333
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),2028,255.55500591817145,linear,123838.97222222222,477183.8333333333
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),2029,254.06870869634304,linear,123838.97222222222,477183.8333333333
MGETAL_mgHCO3_l_nf,M-getal na filtratie (uitgedrukt in mg bicarbonaat/l),2030,252.58241147451417,linear,123838.97222222222,477183.8333333333
O2__,Zuurstofverzadigingspercentage,2026,78.68693020541934,linear,123687.025,477621.65
O2__,Zuurstofverzadigingspercentage,2027,79.22301606124199,linear,123687.025,477621.65
O2__,Zuurstofverzadigingspercentage,2028,79.75910191706441,linear,123687.025,477621.65
O2__,Zuurstofverzadigingspercentage,2029,80.29518777288706,linear,123687.025,477621.65
O2__,Zuurstofverzadigingspercentage,2030,80.83127362870948,linear,123687.025,477621.65
O2_mg_l,Zuurstof (mg/l),2026,8.486484722967859,linear,123687.025,477621.65
O2_mg_l,Zuurstof (mg/l),2027,8.539796119626587,linear,123687.025,477621.65
O2_mg_l,Zuurstof (mg/l),2028,8.593107516285315,linear,123687.025,477621.65
O2_mg_l,Zuurstof (mg/l),2029,8.646418912944043,linear,123687.025,477621.65
O2_mg_l,Zuurstof (mg/l),2030,8.69973030960277,linear,123687.025,477621.65
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),2026,89.75741598965351,linear,123838.97222222222,477183.8333333333
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),2027,88.47014201604816,linear,123838.97222222222,477183.8333333333
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),2028,87.1828680424428,linear,123838.97222222222,477183.8333333333
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),2029,85.89559406883745,linear,123838.97222222222,477183.8333333333
SO4_mg_l_nf,Sulfaat na filtratie (mg/l),2030,84.6083200952321,linear,123838.97222222222,477183.8333333333
T_oC,Temperatuur (oC),2026,12.613160688812691,linear,123687.025,477621.65
T_oC,Temperatuur (oC),2027,12.593480901642522,linear,123687.025,477621.65
T_oC,Temperatuur (oC),2028,12.57380111447236,linear,123687.025,477621.65
T_oC,Temperatuur (oC),2029,12.554121327302198,linear,123687.025,477621.65
T_oC,Temperatuur (oC),2030,12.534441540132036,linear,123687.025,477621.65
ZICHT_m,Doorzicht (m),2026,1.4730392822068268,linear,123838.97222222222,477183.8333333333
ZICHT_m,Doorzicht (m),2027,1.5124097682608237,linear,123838.97222222222,477183.8333333333
ZICHT_m,Doorzicht (m),2028,1.5517802543148065,linear,123838.97222222222,477183.8333333333
ZICHT_m,Doorzicht (m),2029,1.5911507403688034,linear,123838.97222222222,477183.8333333333
ZICHT_m,Doorzicht (m),2030,1.6305212264227862,linear,123838.97222222222,477183.8333333333
pH,Zuurgraad,2026,8.040627338628255,linear,123687.025,477621.65
pH,Zuurgraad,2027,8.047455061047003,linear,123687.025,477621.65
pH,Zuurgraad,2028,8.054282783465755,linear,123687.025,477621.65
pH,Zuurgraad,2029,8.061110505884503,linear,123687.025,477621.65
pH,Zuurgraad,2030,8.067938228303255,linear,123687.025,477621.65
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),2026,0.7763378444880971,linear,123838.97222222222,477183.8333333333
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),2027,0.7945793951783742,linear,123838.97222222222,477183.8333333333
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),2028,0.8128209458686442,linear,123838.97222222222,477183.8333333333
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),2029,0.8310624965589213,linear,123838.97222222222,477183.8333333333
sNO3NO2_mgN_l_nf,Som nitraat en nitriet na filtratie (uitgedrukt in mg stikstof/l) (mg/l),2030,0.8493040472491913,linear,123838.97222222222,477183.8333333333
