year;CHLFa_ug_l_spectro;Ca_mg_l_nf;Cl_mg_l;E__m_L380nm;E__m_L440nm;FEOa_ug_l;GELDHD_mS_m_25oC;MGETAL_mgHCO3_l_nf;NH3_mgN_l_nf;NH4_mgN_l_nf;NKj_mgN_l;NO2_mgN_l_nf;NO3_mgN_l_nf;Ntot_mgN_l;O2__;O2_mg_l;PO4_mgP_l_nf;Ptot_mgP_l;SO4_mg_l_nf;T_oC;ZICHT_m;ZS_mg_l;pH;sNO3NO2_mgN_l_nf
2000;44.56184210526315;;292.3197916666667;9.768970588235293;3.0157142857142856;18.403947368421054;160.0;;;0.6468988764044944;2.7787640449438205;0.06265168539325842;1.2787640449438202;4.131627906976744;72.48645833333333;7.810416666666666;0.18502247191011234;0.3365416666666667;297.55263157894734;12.354166666666666;0.4759036144578313;17.760714285714286;7.607872340425532;
2001;27.64074074074074;;289.7464788732394;11.772162162162163;3.836756756756757;11.042592592592591;144.3943661971831;;0.005;0.8804477611940299;2.8758208955223883;0.0362089552238806;0.6688059701492538;3.5459701492537317;73.7910447761194;8.182089552238807;0.13367164179104477;0.39277464788732397;71.91052631578947;11.298507462686567;0.6872727272727273;20.428813559322034;7.664084507042253;
2002;40.78421052631579;;217.0581395348837;10.11125;3.4419354838709677;10.24736842105263;113.53488372093024;;0.007526315789473685;0.6574222222222222;2.4363636363636365;0.04226666666666667;0.5528888888888889;2.946904761904762;70.25641025641026;7.468888888888889;0.06784444444444444;0.23854545454545456;48.07272727272727;13.153846153846153;0.3185185185185185;14.790000000000001;7.681555555555556;
2003;29.285714285714285;;336.8228571428571;6.178571428571429;2.01;12.482857142857142;169.97804878048782;;0.006411764705882353;0.664075;2.220487804878049;0.05337499999999999;0.687;2.976;68.6;7.529166666666666;0.09135;0.26070731707317074;79.95454545454545;14.0625;0.48055555555555557;21.796666666666667;7.81952380952381;
2004;27.954285714285714;;249.37307692307692;7.662307692307692;2.3196153846153846;13.182857142857141;182.76153846153846;;0.0054800000000000005;2.0417105263157893;4.042105263157895;0.03131578947368421;0.7302631578947368;4.764473684210526;66.84;7.038775510204081;0.09431578947368421;0.3433421052631579;444.4166666666667;13.416666666666666;0.4734042553191489;25.397142857142857;7.749189189189188;
2005;63.18571428571428;;270.71304347826083;8.340416666666666;2.6445833333333333;15.057142857142857;139.73714285714286;;0.002625;0.61858;2.6852;0.03928;0.636;3.22;71.97142857142858;6.986792452830189;0.45718000000000003;0.6483207547169813;77.50833333333334;13.53404255319149;0.6476923076923077;34.970588235294116;8.025531914893616;
2006;38.17948717948718;;177.6818181818182;11.559999999999999;3.66;14.897435897435898;158.3;;0.006500000000000001;0.8077272727272727;3.523529411764706;0.039411764705882354;0.41764705882352937;3.8848484848484843;43.869565217391305;4.508823529411765;0.39640909090909093;0.9914705882352941;79.45454545454545;15.714285714285714;0.54;11.1;8.00952380952381;
2007;29.677419354838708;;186.30645161290323;5.858;1.8659999999999999;12.46774193548387;120.30645161290323;;0.016080645161290322;1.0785135135135135;2.883783783783784;0.05283783783783784;1.045945945945946;3.956081081081081;61.23076923076923;7.006451612903225;0.10721621621621621;0.2687837837837838;93.55263157894737;13.666666666666666;0.7616575342465753;31.916666666666668;7.998648648648649;
2008;17.546666666666667;;175.94666666666666;4.687931034482758;1.4775862068965517;8.973333333333333;110.28048780487805;530.0;0.007689655172413793;0.5978787878787879;2.152;0.03610389610389611;0.704;2.8565333333333336;51.26923076923077;6.753012048192771;0.26985333333333333;0.35648648648648645;87.2280701754386;13.601075268817205;0.6701086956521739;;8.06989247311828;0.5167441860465116
2009;29.70149253731343;;297.07272727272726;4.252727272727273;1.3836363636363636;12.014925373134329;154.0;;0.007545454545454545;0.25781818181818184;1.6686567164179105;0.025970149253731343;0.5671641791044776;2.4789285714285714;73.38636363636364;7.654545454545455;0.09214925373134329;0.18134328358208956;118.04651162790698;13.884415584415583;0.9945454545454546;6.454545454545454;8.219696969696969;0.6669642857142858
2010;34.0650406504065;85.25581395348837;339.2704918032787;5.436;1.850666666666667;11.78048780487805;177.84347826086957;277.5409836065574;0.008232323232323233;0.3561616161616161;2.4571428571428573;0.023984375000000002;0.4421875;3.3928431372549017;63.89855072463768;6.665277777777778;0.06467088607594937;0.3200751879699248;116.8018018018018;13.652173913043478;0.6979166666666666;10.166666666666666;8.0875;0.5434313725490196
2011;18.446601941747574;89.7457627118644;384.3893129770992;5.235164835164835;1.7065934065934067;7.466019417475728;181.7709923664122;245.25423728813558;0.004911290322580645;0.4375;1.8610687022900765;0.023600000000000003;0.484;2.338139534883721;71.04716981132076;7.650943396226415;0.06545544554455446;0.1949618320610687;119.77669902912622;12.053435114503817;0.922689075630252;7.253968253968254;8.028244274809161;0.4823664122137405
2012;18.21978021978022;88.06521739130434;348.08849557522126;7.515217391304348;2.5478260869565217;6.1098901098901095;172.5132743362832;258.9130434782609;0.004558823529411765;0.41137254901960785;1.7929203539823009;0.023539823008849558;0.4911504424778761;2.2653982300884956;76.19607843137256;8.162745098039215;0.029576923076923077;0.22115044247787613;84.70175438596492;12.248214285714285;0.8916666666666667;10.050632911392405;8.01061946902655;0.4872566371681416
2013;21.106060606060606;84.21621621621621;250.046875;6.467567567567568;2.1297297297297297;8.924242424242424;139.421875;264.05405405405406;0.0072187499999999995;0.40640625;1.865625;0.029843750000000002;0.46875;2.34109375;74.3015873015873;8.2765625;0.022500000000000003;0.2290625;85.4054054054054;11.3328125;1.175;11.063492063492063;8.153125;0.4790625
2014;20.582089552238806;88.98076923076923;285.7951807228916;7.5903846153846155;2.45;10.328358208955224;148.20481927710844;276.9230769230769;0.005734939759036144;0.31698795180722894;1.8301204819277108;0.02325301204819277;0.458433734939759;2.3034939759036144;68.83333333333333;7.873493975903615;0.028237288135593223;0.18457831325301205;83.32692307692308;12.726506024096386;1.0620481927710843;13.072289156626505;8.073493975903615;0.4860240963855422
2015;24.460526315789473;94.33333333333333;291.5679012345679;8.0;2.6254901960784314;9.526315789473685;148.09876543209876;300.19607843137254;0.005765432098765432;0.34382716049382717;2.004938271604938;0.022962962962962963;0.4274074074074074;2.4558024691358025;69.66666666666667;7.5814814814814815;0.12310526315789475;0.27506172839506177;80.88235294117646;11.904938271604937;0.9777777777777779;11.037037037037036;8.028395061728395;0.4603703703703704
2016;24.185714285714287;88.13636363636364;286.2435897435897;7.175;2.4295454545454547;10.342857142857143;156.01282051282053;294.3181818181818;0.0037307692307692306;0.32358974358974363;1.8653846153846154;0.016923076923076923;0.36342857142857143;2.279102564102564;66.37179487179488;7.130769230769231;0.2435217391304348;0.33064102564102565;77.13636363636364;12.643589743589745;1.0371794871794873;8.26923076923077;7.933333333333333;0.4291025641025641
2017;20.560606060606062;85.48571428571428;305.8333333333333;6.711428571428572;2.2314285714285713;8.06060606060606;147.33802816901408;238.57142857142858;0.003492957746478873;0.26309859154929577;1.9416666666666669;0.016338028169014085;0.45816901408450705;2.410416666666667;76.74647887323944;8.352112676056338;0.014527777777777778;0.165;91.88888888888889;12.194366197183099;1.1070422535211266;8.450704225352112;7.9352112676056334;0.48250000000000004
2018;19.319444444444443;85.33928571428571;307.969696969697;6.001785714285715;1.9482142857142857;20.47222222222222;150.22727272727272;227.67857142857142;0.003787878787878788;0.21666666666666667;1.7;0.01696969696969697;0.4843939393939394;2.188787878787879;74.5909090909091;8.003030303030304;0.007741935483870968;0.15424242424242424;96.23214285714286;13.213636363636365;1.1393939393939394;10.984848484848484;7.975757575757576;0.4921212121212122
2019;17.68;91.41758241758242;304.98039215686276;5.462637362637363;1.645054945054945;9.64;153.62376237623764;235.27472527472528;0.004931372549019608;0.3023529411764706;1.7470588235294116;0.02519607843137255;0.7722549019607843;2.5388235294117645;78.16666666666667;8.35;0.024711864406779662;0.1385294117647059;111.34065934065934;12.740196078431373;1.2308823529411765;10.088235294117647;7.955882352941177;0.7914705882352941
2020;25.487179487179485;98.47619047619048;279.7739130434783;5.434782608695652;1.748695652173913;8.461538461538462;148.80165289256198;276.95238095238096;0.006191304347826086;0.4037391304347826;1.9547826086956523;0.027130434782608695;0.7341739130434783;2.7066086956521738;79.56446280991734;8.403801652892563;0.030690909090909095;0.2003478260869565;116.32173913043478;13.861157024793389;1.5256198347107437;11.730434782608695;7.957851239669421;0.7604347826086957
2021;22.017543859649123;101.19626168224299;278.12820512820514;5.776068376068376;1.899145299145299;9.543859649122806;149.82051282051282;289.25233644859816;0.006273504273504273;0.5394017094017094;2.088034188034188;0.027435897435897437;0.6546153846153846;2.761794871794872;80.3076923076923;8.878974358974359;0.025327586206896555;0.21316239316239316;113.58119658119658;12.126495726495726;1.335042735042735;10.452991452991453;7.930769230769231;0.6787179487179487
2022;23.839918699186992;95.91696666666667;272.11625000000004;5.118106060606061;1.711818181818182;9.325859375;146.59848484848484;290.26425;0.007946969696969697;0.5377272727272727;2.0757121212121215;0.02368939393939394;0.6655454545454546;2.7535;77.96212121212122;8.315267175572519;0.027266666666666668;0.22725;105.04227272727273;13.10681818181818;1.3408396946564887;9.850916030534352;7.933712121212121;0.6851363636363637
2023;26.315315315315317;101.82407407407408;;7.494594594594594;2.5855855855855854;10.81081081081081;134.74774774774775;273.3333333333333;0.007072072072072073;0.5556756756756757;2.199099099099099;0.03135135135135135;0.7199099099099099;2.9384684684684688;76.34234234234235;8.271171171171172;0.0371764705882353;0.23459459459459459;118.54954954954955;13.111711711711713;1.1738738738738739;13.162162162162161;7.892792792792793;0.7464864864864865
2024;32.95876288659794;94.30927835051547;;8.623711340206185;2.88659793814433;14.29896907216495;126.22222222222223;265.87628865979383;0.00888659793814433;0.5492929292929293;2.454639175257732;0.03742268041237113;0.7830927835051545;3.268041237113402;77.68041237113403;8.24;0.03263265306122449;0.2503092783505155;103.6701030927835;13.672727272727272;1.2582474226804123;17.061855670103093;7.901010101010101;0.8136082474226805
2025;24.529411764705884;92.47222222222223;;8.091666666666667;2.6444444444444444;13.058823529411764;136.6625;257.22222222222223;0.010277777777777778;0.3408333333333333;2.1666666666666665;0.021388888888888888;0.8805555555555555;3.065;85.025;9.74275;0.02755;0.20472222222222222;92.47222222222223;10.0175;1.5027777777777778;12.527777777777779;8.051;0.8988888888888888
